,screen_name,name,description,favourites_count,followers_count,following,friends_count,location,profile_image_url,profile_image_url_https,time_zone,url,verified,created_at
10,PritishNandy,Pritish Nandy,"Writes. Paints. Makes movies. Former Editor, Member of Parliament. Founder, People for Animals. International Humanitarian Award, Genesis Awards 2012, LA.",253,568333,True,197,Mumbai. ,http://pbs.twimg.com/profile_images/378800000583453440/12d410d1d8cb91b381389b8b846b38cd_normal.jpeg,https://pbs.twimg.com/profile_images/378800000583453440/12d410d1d8cb91b381389b8b846b38cd_normal.jpeg,Mumbai,http://t.co/BJBidXgjG4,True,Tue Jun 30 07:57:58 +0000 2009
11,codeschool,Code School,Code School is an online learning destination for existing and aspiring developers that teaches through entertaining content. Learn more: http://t.co/aoQ3uv9yAJ,463,41007,True,620,"Orlando, FL",http://pbs.twimg.com/profile_images/459001885970534400/O71Zaii5_normal.png,https://pbs.twimg.com/profile_images/459001885970534400/O71Zaii5_normal.png,,http://t.co/9r37Ihlq9X,False,Wed Jan 19 14:16:25 +0000 2011
12,balrajbhatt,balraj,,0,10,True,11,Dar es Salaam,http://pbs.twimg.com/profile_images/2771947283/d11dcab5b30c2b1ad367359cfe3fa1e5_normal.jpeg,https://pbs.twimg.com/profile_images/2771947283/d11dcab5b30c2b1ad367359cfe3fa1e5_normal.jpeg,,,False,Wed Feb 24 09:58:27 +0000 2010
13,harishporiya,Harish Poriya,,0,2,True,0,,http://abs.twimg.com/sticky/default_profile_images/default_profile_1_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_1_normal.png,,,False,Tue Jul 27 06:14:54 +0000 2010
14,priyank68,priyank trivedi,am a first year engineering student at VIT chennai,0,10,True,1,chennai,http://pbs.twimg.com/profile_images/1099757863/DSC05615_normal.jpg,https://pbs.twimg.com/profile_images/1099757863/DSC05615_normal.jpg,Hawaii,,False,Sun Aug 08 10:49:30 +0000 2010
15,poojac68,pooja chaturvedi,am a final year dental student at kanpur,2,26,True,41,Kanpur,http://pbs.twimg.com/profile_images/463667184409907201/Sdguzt4R_normal.jpeg,https://pbs.twimg.com/profile_images/463667184409907201/Sdguzt4R_normal.jpeg,Hawaii,,False,Sun Aug 08 05:07:39 +0000 2010
16,timoreilly,Tim O'Reilly,"Founder and CEO, O'Reilly Media. Watching the alpha geeks, sharing their stories, helping the future unfold.",241,1771271,True,1211,"Sebastopol, CA",http://pbs.twimg.com/profile_images/2823681988/f4f6f2bed8ab4d5a48dea4b9ea85d5f1_normal.jpeg,https://pbs.twimg.com/profile_images/2823681988/f4f6f2bed8ab4d5a48dea4b9ea85d5f1_normal.jpeg,Pacific Time (US & Canada),http://t.co/5086iX7oyT,True,Tue Mar 27 01:14:05 +0000 2007
17,lifehacker,Lifehacker,Don't live to geek; geek to live.,4,1295423,True,25,,http://pbs.twimg.com/profile_images/1861146796/Twitter_-_Avatar_normal.png,https://pbs.twimg.com/profile_images/1861146796/Twitter_-_Avatar_normal.png,Eastern Time (US & Canada),http://t.co/CY03sH1tMd,True,Fri Jun 29 03:44:14 +0000 2007
18,menon_vj,Vijay Menon,amazingly dumb | pseudo-intellect | an aspiring ________ | hopes to start learning tennis to beat Roger Federer when he's 70,91,94,True,174,Chennai,http://pbs.twimg.com/profile_images/414018454241288192/7BMMKGW2_normal.png,https://pbs.twimg.com/profile_images/414018454241288192/7BMMKGW2_normal.png,Chennai,,False,Wed Jun 08 06:49:08 +0000 2011
19,arrahman,A.R.Rahman,Grammy and Academy Award winning musician,0,4041884,True,0,"Chennai, India",http://pbs.twimg.com/profile_images/2967359603/450c0df90b3eb6711318c450db7db201_normal.jpeg,https://pbs.twimg.com/profile_images/2967359603/450c0df90b3eb6711318c450db7db201_normal.jpeg,Chennai,http://t.co/Y4qmZ7N7vn,True,Mon Feb 02 05:53:57 +0000 2009
20,aamir_khan,Aamir Khan,Actor.,0,6972151,True,6,Mumbai,http://pbs.twimg.com/profile_images/2254031972/_MG_2190_normal.jpeg,https://pbs.twimg.com/profile_images/2254031972/_MG_2190_normal.jpeg,Mumbai,http://t.co/O6vkabaTiP,True,Tue Nov 10 05:08:56 +0000 2009
21,sachin_rt,sachin tendulkar,Proud Indian,0,4326802,True,8,"ÜT: 18.986431,72.823769",http://pbs.twimg.com/profile_images/2504398687/344204969_normal.jpg,https://pbs.twimg.com/profile_images/2504398687/344204969_normal.jpg,,http://t.co/TCNcUDBwuE,True,Wed Apr 21 07:42:23 +0000 2010
22,juniorbachchan,Abhishek Bachchan,Actor........ well at least some say so!,246,4190830,True,270,"Mumbai, India",http://pbs.twimg.com/profile_images/1857345555/image_normal.jpg,https://pbs.twimg.com/profile_images/1857345555/image_normal.jpg,Hawaii,http://t.co/EhHX5bweDG,True,Tue Nov 03 11:29:22 +0000 2009
