,screen_name,name,description,favourites_count,followers_count,following,friends_count,location,profile_image_url,profile_image_url_https,time_zone,url,verified,created_at
30,umang9999,Umang J.,"Consultant, Business Development, Software and IT  Startup, Entrepreneur, DBA, IT offshore firm, Nirma Uni.Alumni, Uni of Hertfordshire",2,62,False,380,"London, UK Amdavad, Pune India",http://pbs.twimg.com/profile_images/1292175026/ExpressYourself_normal.JPG,https://pbs.twimg.com/profile_images/1292175026/ExpressYourself_normal.JPG,London,,False,Thu Oct 28 10:50:59 +0000 2010
31,Rihaanpatel,Rihaan Patel,Film Producer @New Age Cinema,19,78,False,77,"Ahmedabad City, IND",http://pbs.twimg.com/profile_images/471583627201896449/zVTTpQE3_normal.jpeg,https://pbs.twimg.com/profile_images/471583627201896449/zVTTpQE3_normal.jpeg,Mumbai,http://t.co/TTtp4V8vXY,False,Sun Jul 05 07:10:00 +0000 2009
32,TheFunnyChicaa,TheFunnyChicaa,,1,158,False,701,,http://pbs.twimg.com/profile_images/378800000863003665/aWmyo_yJ_normal.jpeg,https://pbs.twimg.com/profile_images/378800000863003665/aWmyo_yJ_normal.jpeg,,,False,Thu Dec 12 15:41:26 +0000 2013
33,PeaToTheBee,Priyanka Banerjee ,"19 year old Business major in DU. A blog junkie at heart, obsessed with looking at the bigger picture and in love with all that is witty!
Editor @DU_Beat",39,511,False,675,India ,http://pbs.twimg.com/profile_images/448831222504882176/tfuu2mwa_normal.jpeg,https://pbs.twimg.com/profile_images/448831222504882176/tfuu2mwa_normal.jpeg,Chennai,,False,Sun Nov 27 17:30:25 +0000 2011
34,ahmedabadblog,Ahmedabad Blog,"http://t.co/KFyhlOG83j is a website based on ahmedabad. It features all the events,social gatherings,places,people, issues and more .",3,1017,False,837,"Ahmedabad , India",http://pbs.twimg.com/profile_images/378800000081803565/763d9a0fe17aadf851b5e5e05752d576_normal.jpeg,https://pbs.twimg.com/profile_images/378800000081803565/763d9a0fe17aadf851b5e5e05752d576_normal.jpeg,Chennai,http://t.co/b2hmWpvamL,False,Tue Sep 25 18:56:28 +0000 2012
35,iamamechanic,pankajbhayare,,0,17,False,131,,http://abs.twimg.com/sticky/default_profile_images/default_profile_5_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_5_normal.png,,,False,Sun May 26 16:37:30 +0000 2013
36,shaktigoap,Shakti Goap,Undergrad Student @ NIT Surat,17,55,False,351,"Surat, India",http://pbs.twimg.com/profile_images/3130465699/2fa568b02c9004cddf586f144562844f_normal.jpeg,https://pbs.twimg.com/profile_images/3130465699/2fa568b02c9004cddf586f144562844f_normal.jpeg,New Delhi,http://t.co/7nBIIIms,False,Tue Sep 22 11:37:14 +0000 2009
37,krnshh1990,Karan Shah,"Dentist in India, Public Health candidate in Texas, Aspiring Pedodontist in United States, Future Health Policy Analyst everywhere.",82,138,False,492,Mumbai,http://pbs.twimg.com/profile_images/429960771569586176/VOC1OIZj_normal.jpeg,https://pbs.twimg.com/profile_images/429960771569586176/VOC1OIZj_normal.jpeg,Central Time (US & Canada),http://t.co/gRslx2s3ug,False,Fri Oct 23 15:13:56 +0000 2009
38,pooja80309944,pooja,,0,105,False,112,,http://abs.twimg.com/sticky/default_profile_images/default_profile_6_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_6_normal.png,,,False,Mon Sep 16 05:08:49 +0000 2013
39,RooseSorokh,Roosevelt,,0,80,False,83,,http://abs.twimg.com/sticky/default_profile_images/default_profile_5_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_5_normal.png,,,False,Fri Sep 13 08:27:19 +0000 2013
